,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan,FLOPS,AVGVimPreprocessTime,AVGVimPredictTime,AVGVimTFLitePredictTime
3413,3414,45,1024,256,128,0.5,3,0 days 00:00:00.014035,0 days 00:03:14.326654,88.39999999999999,89.0,59.666666666666664,125232974.0,0 days 00:00:00.074066,0 days 00:00:00.302862,0 days 00:00:00.027226
3414,3415,45,1024,256,128,0.5,5,0 days 00:00:00.014035,0 days 00:03:06.254888,91.53333333333335,92.06666666666666,65.66666666666667,346047907.3333333,0 days 00:00:00.070836,0 days 00:00:00.318050,0 days 00:00:00.070444
3415,3416,45,1024,256,128,0.5,7,0 days 00:00:00.014035,0 days 00:04:56.018331,92.46666666666665,92.60000000000001,64.66666666666667,677270307.3333334,0 days 00:00:00.065517,0 days 00:00:00.322492,0 days 00:00:00.131689
3416,3417,45,1024,256,192,0.25,2,0 days 00:00:00.015558,0 days 00:01:57.850536,86.53333333333335,88.13333333333333,64.66666666666667,37527496.666666664,0 days 00:00:00.059964,0 days 00:00:00.299124,0 days 00:00:00.009548
3417,3418,45,1024,256,192,0.25,3,0 days 00:00:00.015558,0 days 00:01:32.209892,85.60000000000001,87.73333333333335,60.666666666666664,83582990.0,0 days 00:00:00.067656,0 days 00:00:00.306120,0 days 00:00:00.018050
3418,3419,45,1024,256,192,0.25,5,0 days 00:00:00.015558,0 days 00:02:31.953663,89.8,90.86666666666667,62.0,230960568.66666666,0 days 00:00:00.065435,0 days 00:00:00.311868,0 days 00:00:00.045902
3419,3420,45,1024,256,192,0.25,7,0 days 00:00:00.015558,0 days 00:03:14.809429,91.53333333333335,91.86666666666667,65.33333333333333,452026936.6666667,0 days 00:00:00.064259,0 days 00:00:00.315977,0 days 00:00:00.088708
3420,3421,45,1024,256,256,0.0,2,0 days 00:00:00.011508,0 days 00:02:00.814695,88.8,88.86666666666667,67.33333333333333,28154006.0,0 days 00:00:00.057884,0 days 00:00:00.293819,0 days 00:00:00.007447
3421,3422,45,1024,256,256,0.0,3,0 days 00:00:00.011508,0 days 00:01:56.028083,90.33333333333333,90.13333333333333,66.66666666666667,62706166.0,0 days 00:00:00.058594,0 days 00:00:00.304224,0 days 00:00:00.014047
3422,3423,45,1024,256,256,0.0,5,0 days 00:00:00.011508,0 days 00:02:06.213435,92.46666666666665,92.60000000000001,71.33333333333333,173273078.0,0 days 00:00:00.063709,0 days 00:00:00.310333,0 days 00:00:00.035151
3423,3424,45,1024,256,256,0.0,7,0 days 00:00:00.011508,0 days 00:02:44.838399,90.39999999999999,89.39999999999999,63.666666666666664,339123446.0,0 days 00:00:00.053178,0 days 00:00:00.314001,0 days 00:00:00.067093
3424,3425,45,1024,512,128,0.75,2,0 days 00:00:00.018421,0 days 00:02:26.341541,88.39999999999999,89.06666666666666,58.333333333333336,56228307.333333336,0 days 00:00:00.067657,0 days 00:00:00.299575,0 days 00:00:00.014386
3425,3426,45,1024,512,128,0.75,3,0 days 00:00:00.018421,0 days 00:02:46.671061,91.8,92.0,66.33333333333333,125232974.0,0 days 00:00:00.070110,0 days 00:00:00.315977,0 days 00:00:00.027809
3426,3427,45,1024,512,128,0.75,5,0 days 00:00:00.018421,0 days 00:03:37.687987,93.0,93.46666666666665,70.33333333333333,346047907.3333333,0 days 00:00:00.069083,0 days 00:00:00.314481,0 days 00:00:00.069259
3427,3428,45,1024,512,128,0.75,7,0 days 00:00:00.018421,0 days 00:04:58.394460,91.33333333333333,92.2,68.33333333333333,677270307.3333334,0 days 00:00:00.064234,0 days 00:00:00.330220,0 days 00:00:00.133807
3428,3429,45,1024,512,256,0.5,2,0 days 00:00:00.010686,0 days 00:02:01.756732,87.2,88.59999999999998,68.66666666666667,28154006.0,0 days 00:00:00.059343,0 days 00:00:00.304992,0 days 00:00:00.007552
3429,3430,45,1024,512,256,0.5,3,0 days 00:00:00.010686,0 days 00:01:54.585434,89.13333333333333,89.93333333333334,69.33333333333333,62706166.0,0 days 00:00:00.054902,0 days 00:00:00.311601,0 days 00:00:00.013946
3430,3431,45,1024,512,256,0.5,5,0 days 00:00:00.010686,0 days 00:01:58.326947,93.46666666666665,93.59999999999998,74.0,173273078.0,0 days 00:00:00.055256,0 days 00:00:00.306691,0 days 00:00:00.035139
3431,3432,45,1024,512,256,0.5,7,0 days 00:00:00.010686,0 days 00:02:53.596957,92.66666666666667,93.06666666666666,70.33333333333333,339123446.0,0 days 00:00:00.059688,0 days 00:00:00.310193,0 days 00:00:00.067009
3432,3433,45,1024,512,384,0.25,2,0 days 00:00:00.012569,0 days 00:01:21.182649,89.2,89.8,67.33333333333333,18663534.0,0 days 00:00:00.052765,0 days 00:00:00.299669,0 days 00:00:00.004724
3433,3434,45,1024,512,384,0.25,3,0 days 00:00:00.012569,0 days 00:01:40.317241,93.39999999999999,93.2,72.33333333333333,41567454.0,0 days 00:00:00.044105,0 days 00:00:00.295824,0 days 00:00:00.009026
3434,3435,45,1024,512,384,0.25,5,0 days 00:00:00.012569,0 days 00:01:55.500165,93.53333333333335,93.60000000000001,73.0,114859998.0,0 days 00:00:00.054828,0 days 00:00:00.302680,0 days 00:00:00.022783
3435,3436,45,1024,512,384,0.25,7,0 days 00:00:00.012569,0 days 00:02:04.371332,94.33333333333333,94.39999999999999,73.66666666666667,224798814.0,0 days 00:00:00.053180,0 days 00:00:00.311914,0 days 00:00:00.043739
3436,3437,45,1024,512,512,0.0,2,0 days 00:00:00.011618,0 days 00:01:07.712831,90.19999999999999,90.40000000000002,68.33333333333333,14027312.666666666,0 days 00:00:00.051163,0 days 00:00:00.295191,0 days 00:00:00.003613
3437,3438,45,1024,512,512,0.0,3,0 days 00:00:00.011618,0 days 00:01:29.039340,93.13333333333333,93.06666666666666,76.33333333333333,31241606.0,0 days 00:00:00.055654,0 days 00:00:00.302185,0 days 00:00:00.006792
3438,3439,45,1024,512,512,0.0,5,0 days 00:00:00.011618,0 days 00:01:30.957250,95.06666666666666,95.39999999999999,76.66666666666667,86327344.66666667,0 days 00:00:00.050649,0 days 00:00:00.297874,0 days 00:00:00.017088
3439,3440,45,1024,512,512,0.0,7,0 days 00:00:00.011618,0 days 00:01:38.144805,94.93333333333334,95.0,75.33333333333333,168955952.66666666,0 days 00:00:00.049922,0 days 00:00:00.309789,0 days 00:00:00.033473
3440,3441,45,1024,1024,256,0.75,2,0 days 00:00:00.014052,0 days 00:01:33.463590,89.06666666666666,90.2,69.33333333333333,28154006.0,0 days 00:00:00.053792,0 days 00:00:00.290926,0 days 00:00:00.007054
3441,3442,45,1024,1024,256,0.75,3,0 days 00:00:00.014052,0 days 00:02:01.446956,91.0,91.73333333333333,73.66666666666667,62706166.0,0 days 00:00:00.060596,0 days 00:00:00.479104,0 days 00:00:00.013601
3442,3443,45,1024,1024,256,0.75,5,0 days 00:00:00.014052,0 days 00:02:13.109632,94.66666666666667,94.8,78.66666666666667,173273078.0,0 days 00:00:00.058741,0 days 00:00:00.309264,0 days 00:00:00.034454
3443,3444,45,1024,1024,256,0.75,7,0 days 00:00:00.014052,0 days 00:02:29.742748,93.0,93.33333333333333,66.0,339123446.0,0 days 00:00:00.056308,0 days 00:00:00.316984,0 days 00:00:00.066214
3444,3445,45,1024,1024,512,0.5,2,0 days 00:00:00.011405,0 days 00:01:10.056534,88.66666666666667,90.0,64.0,14027312.666666666,0 days 00:00:00.052977,0 days 00:00:00.283970,0 days 00:00:00.003642
3445,3446,45,1024,1024,512,0.5,3,0 days 00:00:00.011405,0 days 00:01:24.223956,94.93333333333334,95.06666666666666,78.66666666666667,31241606.0,0 days 00:00:00.057027,0 days 00:00:00.290578,0 days 00:00:00.006703
3446,3447,45,1024,1024,512,0.5,5,0 days 00:00:00.011405,0 days 00:01:34.529119,95.80000000000001,95.93333333333334,77.33333333333333,86327344.66666667,0 days 00:00:00.054752,0 days 00:00:00.298581,0 days 00:00:00.017578
3447,3448,45,1024,1024,512,0.5,7,0 days 00:00:00.011405,0 days 00:01:43.681250,95.33333333333333,95.33333333333333,78.33333333333333,168955952.66666666,0 days 00:00:00.057868,0 days 00:00:00.305646,0 days 00:00:00.033393
3448,3449,45,1024,1024,768,0.25,2,0 days 00:00:00.009584,0 days 00:01:14.212328,91.06666666666666,91.53333333333335,74.33333333333333,9354443.333333334,0 days 00:00:00.044038,0 days 00:00:00.292069,0 days 00:00:00.002370
3449,3450,45,1024,1024,768,0.25,3,0 days 00:00:00.009584,0 days 00:01:18.769888,94.39999999999999,94.73333333333335,78.0,20834550.0,0 days 00:00:00.047281,0 days 00:00:00.300504,0 days 00:00:00.004559
3450,3451,45,1024,1024,768,0.25,5,0 days 00:00:00.009584,0 days 00:01:21.994061,95.39999999999999,95.60000000000001,77.0,57570891.333333336,0 days 00:00:00.049151,0 days 00:00:00.305501,0 days 00:00:00.011554
3451,3452,45,1024,1024,768,0.25,7,0 days 00:00:00.009584,0 days 00:01:31.223778,95.8,96.0,77.66666666666667,112675403.33333333,0 days 00:00:00.049256,0 days 00:00:00.303007,0 days 00:00:00.021946
3452,3453,45,1024,1024,1024,0.0,2,0 days 00:00:00.010880,0 days 00:01:07.353792,92.40000000000002,92.73333333333333,79.0,7145819.333333333,0 days 00:00:00.042017,0 days 00:00:00.281548,0 days 00:00:00.001815
3453,3454,45,1024,1024,1024,0.0,3,0 days 00:00:00.010880,0 days 00:01:12.545166,95.33333333333333,95.39999999999999,79.66666666666667,15916806.0,0 days 00:00:00.046414,0 days 00:00:00.294300,0 days 00:00:00.003541
3454,3455,45,1024,1024,1024,0.0,5,0 days 00:00:00.010880,0 days 00:01:04.722044,95.73333333333333,96.0,74.66666666666667,43983963.333333336,0 days 00:00:00.049100,0 days 00:00:00.298555,0 days 00:00:00.008890
3455,3456,45,1024,1024,1024,0.0,7,0 days 00:00:00.010880,0 days 00:01:05.159009,95.93333333333332,96.06666666666666,70.66666666666667,86084699.33333333,0 days 00:00:00.046925,0 days 00:00:00.293341,0 days 00:00:00.017082
3456,3457,45,2048,256,64,0.75,2,0 days 00:00:00.048096,0 days 00:05:52.994410,90.33333333333333,90.86666666666667,77.0,112176272.66666667,0 days 00:00:00.138526,0 days 00:00:00.312361,0 days 00:00:00.029293
3457,3458,45,2048,256,64,0.75,3,0 days 00:00:00.048096,0 days 00:04:13.286009,88.66666666666667,89.26666666666667,60.333333333333336,249840006.0,0 days 00:00:00.138545,0 days 00:00:00.322285,0 days 00:00:00.054967
3458,3459,45,2048,256,64,0.75,5,0 days 00:00:00.048096,0 days 00:06:09.439979,91.13333333333334,91.66666666666667,70.66666666666667,690363952.6666666,0 days 00:00:00.141859,0 days 00:00:00.333176,0 days 00:00:00.138252
3459,3460,45,2048,256,64,0.75,7,0 days 00:00:00.048096,0 days 00:08:14.688166,90.60000000000001,90.86666666666667,58.333333333333336,1351149872.6666667,0 days 00:00:00.138019,0 days 00:00:00.361236,0 days 00:00:00.263285
3460,3461,45,2048,256,128,0.5,2,0 days 00:00:00.020964,0 days 00:03:13.668355,89.26666666666667,89.53333333333335,67.33333333333333,56228307.333333336,0 days 00:00:00.096276,0 days 00:00:00.299249,0 days 00:00:00.014513
3461,3462,45,2048,256,128,0.5,3,0 days 00:00:00.020964,0 days 00:02:21.332788,87.06666666666668,88.60000000000001,60.0,125232974.0,0 days 00:00:00.102402,0 days 00:00:00.312732,0 days 00:00:00.027352
3462,3463,45,2048,256,128,0.5,5,0 days 00:00:00.020964,0 days 00:03:06.896497,89.8,89.86666666666667,58.666666666666664,346047907.3333333,0 days 00:00:00.098971,0 days 00:00:00.316772,0 days 00:00:00.067934
3463,3464,45,2048,256,128,0.5,7,0 days 00:00:00.020964,0 days 00:04:19.525345,91.73333333333333,92.2,64.66666666666667,677270307.3333334,0 days 00:00:00.093598,0 days 00:00:00.336964,0 days 00:00:00.134079
3464,3465,45,2048,256,192,0.25,2,0 days 00:00:00.022420,0 days 00:01:37.583015,86.06666666666668,87.0,51.0,37527496.666666664,0 days 00:00:00.080949,0 days 00:00:00.302064,0 days 00:00:00.009974
3465,3466,45,2048,256,192,0.25,3,0 days 00:00:00.022420,0 days 00:02:09.667030,89.73333333333333,89.93333333333334,63.0,83582990.0,0 days 00:00:00.082133,0 days 00:00:00.306456,0 days 00:00:00.018389
3466,3467,45,2048,256,192,0.25,5,0 days 00:00:00.022420,0 days 00:02:44.622726,90.0,90.86666666666667,69.66666666666667,230960568.66666666,0 days 00:00:00.077740,0 days 00:00:00.300613,0 days 00:00:00.046321
3467,3468,45,2048,256,192,0.25,7,0 days 00:00:00.022420,0 days 00:03:41.461346,93.13333333333334,93.40000000000002,68.66666666666667,452026936.6666667,0 days 00:00:00.078096,0 days 00:00:00.323230,0 days 00:00:00.089361
3468,3469,45,2048,256,256,0.0,2,0 days 00:00:00.019348,0 days 00:01:59.106265,88.60000000000001,89.33333333333333,65.0,28154006.0,0 days 00:00:00.073665,0 days 00:00:00.295259,0 days 00:00:00.007250
3469,3470,45,2048,256,256,0.0,3,0 days 00:00:00.019348,0 days 00:01:44.730963,88.06666666666666,88.8,62.333333333333336,62706166.0,0 days 00:00:00.068308,0 days 00:00:00.292771,0 days 00:00:00.013832
3470,3471,45,2048,256,256,0.0,5,0 days 00:00:00.019348,0 days 00:02:07.770973,91.13333333333333,91.33333333333333,63.0,173273078.0,0 days 00:00:00.068763,0 days 00:00:00.308852,0 days 00:00:00.035419
