,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,NRep,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,VimPreprocessTime,VimPredictTime,VimTFLitePredictTime
92,19,3,512,256,64,0.75,5,3,0 days 00:00:00.025440,0 days 00:01:35.146548,71.0,74.0,40,0 days 00:00:00.073056,0 days 00:00:00.274663,0 days 00:00:00.014419
93,19,3,512,256,64,0.75,5,4,0 days 00:00:00.025440,0 days 00:01:27.559210,68.0,73.0,35,0 days 00:00:00.076577,0 days 00:00:00.278950,0 days 00:00:00.014290
94,19,3,512,256,64,0.75,5,5,0 days 00:00:00.025440,0 days 00:01:20.598549,46.0,63.0,33,0 days 00:00:00.080559,0 days 00:00:00.307589,0 days 00:00:00.014618
95,20,3,512,256,64,0.75,7,1,0 days 00:00:00.025440,0 days 00:01:45.573609,1.0,51.0,28,0 days 00:00:00.080126,0 days 00:00:00.287080,0 days 00:00:00.027484
96,20,3,512,256,64,0.75,7,2,0 days 00:00:00.025440,0 days 00:02:08.880014,60.0,70.0,34,0 days 00:00:00.091412,0 days 00:00:00.280414,0 days 00:00:00.028054
97,20,3,512,256,64,0.75,7,3,0 days 00:00:00.025440,0 days 00:02:27.410364,73.0,67.0,40,0 days 00:00:00.076137,0 days 00:00:00.274854,0 days 00:00:00.028020
98,20,3,512,256,64,0.75,7,4,0 days 00:00:00.025440,0 days 00:02:00.034730,33.0,61.0,32,0 days 00:00:00.079511,0 days 00:00:00.275972,0 days 00:00:00.027945
99,20,3,512,256,64,0.75,7,5,0 days 00:00:00.025440,0 days 00:02:27.363766,74.0,74.0,40,0 days 00:00:00.083523,0 days 00:00:00.277746,0 days 00:00:00.027626
100,21,3,512,256,128,0.5,2,1,0 days 00:00:00.016563,0 days 00:00:13.327865,71.0,62.0,14,0 days 00:00:00.066028,0 days 00:00:00.265016,0 days 00:00:00.001365
101,21,3,512,256,128,0.5,2,2,0 days 00:00:00.016563,0 days 00:00:33.041585,51.0,66.0,31,0 days 00:00:00.077325,0 days 00:00:00.261584,0 days 00:00:00.001519
