,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan,FLOPS,AVGVimPreprocessTime,AVGVimPredictTime,AVGVimTFLitePredictTime
82,83,3,1024,1024,256,0.75,5,0 days 00:00:00.009733,0 days 00:01:06.019775,92.2,92.2,77,19198030.0,0 days 00:00:00.053210,0 days 00:00:00.288351,0 days 00:00:00.003870
83,84,3,1024,1024,256,0.75,7,0 days 00:00:00.009733,0 days 00:01:18.003879,91.8,92.2,76,37578958.0,0 days 00:00:00.049415,0 days 00:00:00.290191,0 days 00:00:00.007354
84,85,3,1024,1024,512,0.5,2,0 days 00:00:00.007944,0 days 00:00:32.374319,83.0,83.0,50,1551302.0,0 days 00:00:00.039546,0 days 00:00:00.280152,0 days 00:00:00.000428
85,86,3,1024,1024,512,0.5,3,0 days 00:00:00.007944,0 days 00:00:56.942375,91.0,91.2,69,3458182.0,0 days 00:00:00.040686,0 days 00:00:00.274854,0 days 00:00:00.000812
86,87,3,1024,1024,512,0.5,5,0 days 00:00:00.007944,0 days 00:00:54.022268,92.2,92.6,80,9560198.0,0 days 00:00:00.039464,0 days 00:00:00.281817,0 days 00:00:00.002004
87,88,3,1024,1024,512,0.5,7,0 days 00:00:00.007944,0 days 00:01:05.585032,93.8,94.4,78,18713222.0,0 days 00:00:00.043592,0 days 00:00:00.278317,0 days 00:00:00.003727
88,89,3,1024,1024,768,0.25,2,0 days 00:00:00.009016,0 days 00:00:26.697405,81.6,80.0,40,1023086.0,0 days 00:00:00.041231,0 days 00:00:00.277961,0 days 00:00:00.000361
89,90,3,1024,1024,768,0.25,3,0 days 00:00:00.009016,0 days 00:01:04.631317,94.8,95.4,80,2280446.0,0 days 00:00:00.051305,0 days 00:00:00.289956,0 days 00:00:00.000594
90,91,3,1024,1024,768,0.25,5,0 days 00:00:00.009016,0 days 00:00:51.346315,94.2,94.6,71,6303998.0,0 days 00:00:00.038528,0 days 00:00:00.277203,0 days 00:00:00.001457
91,92,3,1024,1024,768,0.25,7,0 days 00:00:00.009016,0 days 00:00:53.690325,95.2,95.8,63,12339326.0,0 days 00:00:00.036656,0 days 00:00:00.275266,0 days 00:00:00.002631
92,93,3,1024,1024,1024,0.0,2,0 days 00:00:00.006988,0 days 00:00:29.230660,85.6,85.4,46,796406.0,0 days 00:00:00.044877,0 days 00:00:00.274432,0 days 00:00:00.000281
93,94,3,1024,1024,1024,0.0,3,0 days 00:00:00.006988,0 days 00:00:57.711659,93.0,93.4,80,1775446.0,0 days 00:00:00.042449,0 days 00:00:00.276452,0 days 00:00:00.000450
94,95,3,1024,1024,1024,0.0,5,0 days 00:00:00.006988,0 days 00:00:46.606364,93.6,94.2,72,4908374.0,0 days 00:00:00.047763,0 days 00:00:00.292916,0 days 00:00:00.001077
95,96,3,1024,1024,1024,0.0,7,0 days 00:00:00.006988,0 days 00:00:52.062354,94.4,94.8,76,9607766.0,0 days 00:00:00.039835,0 days 00:00:00.283413,0 days 00:00:00.001974
96,97,3,2048,256,64,0.75,2,0 days 00:00:00.045182,0 days 00:00:18.172328,70.8,67.0,18,12338550.0,0 days 00:00:00.163330,0 days 00:00:00.276990,0 days 00:00:00.002896
97,98,3,2048,256,64,0.75,3,0 days 00:00:00.045182,0 days 00:01:11.639421,87.6,88.2,58,27507990.0,0 days 00:00:00.160376,0 days 00:00:00.284434,0 days 00:00:00.005641
98,99,3,2048,256,64,0.75,5,0 days 00:00:00.045182,0 days 00:00:52.123639,82.0,83.2,40,76050198.0,0 days 00:00:00.163034,0 days 00:00:00.286908,0 days 00:00:00.014474
99,100,3,2048,256,64,0.75,7,0 days 00:00:00.045182,0 days 00:02:13.983988,90.4,90.0,68,148863510.0,0 days 00:00:00.157911,0 days 00:00:00.300848,0 days 00:00:00.028141
100,101,3,2048,256,128,0.5,2,0 days 00:00:00.029438,0 days 00:00:08.599007,67.2,67.4,15,6188142.0,0 days 00:00:00.107905,0 days 00:00:00.280761,0 days 00:00:00.001469
101,102,3,2048,256,128,0.5,3,0 days 00:00:00.029438,0 days 00:01:05.590744,90.2,90.0,68,13795902.0,0 days 00:00:00.110092,0 days 00:00:00.286426,0 days 00:00:00.002985
102,103,3,2048,256,128,0.5,5,0 days 00:00:00.029438,0 days 00:01:28.154698,94.8,95.0,77,38140734.0,0 days 00:00:00.100722,0 days 00:00:00.282287,0 days 00:00:00.007352
103,104,3,2048,256,128,0.5,7,0 days 00:00:00.029438,0 days 00:01:41.330740,97.0,97.0,76,74657982.0,0 days 00:00:00.115551,0 days 00:00:00.286263,0 days 00:00:00.014313
104,105,3,2048,256,192,0.25,2,0 days 00:00:00.017883,0 days 00:00:20.487493,77.0,75.0,30,4137758.0,0 days 00:00:00.078479,0 days 00:00:00.277710,0 days 00:00:00.001048
105,106,3,2048,256,192,0.25,3,0 days 00:00:00.017883,0 days 00:01:10.746701,90.2,90.8,71,9224718.0,0 days 00:00:00.087842,0 days 00:00:00.286687,0 days 00:00:00.002022
106,107,3,2048,256,192,0.25,5,0 days 00:00:00.017883,0 days 00:01:16.721634,93.4,93.8,80,25502990.0,0 days 00:00:00.087016,0 days 00:00:00.289187,0 days 00:00:00.005022
107,108,3,2048,256,192,0.25,7,0 days 00:00:00.017883,0 days 00:01:40.685101,94.4,95.0,80,49920398.0,0 days 00:00:00.091349,0 days 00:00:00.291548,0 days 00:00:00.009712
108,109,3,2048,256,256,0.0,2,0 days 00:00:00.022694,0 days 00:00:17.829976,75.6,73.8,31,3114718.0,0 days 00:00:00.072533,0 days 00:00:00.271160,0 days 00:00:00.000780
109,110,3,2048,256,256,0.0,3,0 days 00:00:00.022694,0 days 00:00:50.608066,84.0,83.2,62,6944078.0,0 days 00:00:00.076790,0 days 00:00:00.280768,0 days 00:00:00.001509
110,111,3,2048,256,256,0.0,5,0 days 00:00:00.022694,0 days 00:00:57.416658,92.2,92.2,78,19198030.0,0 days 00:00:00.078831,0 days 00:00:00.283894,0 days 00:00:00.003862
111,112,3,2048,256,256,0.0,7,0 days 00:00:00.022694,0 days 00:01:13.471834,92.6,92.6,70,37578958.0,0 days 00:00:00.075124,0 days 00:00:00.288129,0 days 00:00:00.007245
112,113,3,2048,512,128,0.75,2,0 days 00:00:00.025842,0 days 00:00:10.036928,73.6,72.0,16,6188142.0,0 days 00:00:00.112080,0 days 00:00:00.280601,0 days 00:00:00.001499
113,114,3,2048,512,128,0.75,3,0 days 00:00:00.025842,0 days 00:00:44.301008,89.2,89.4,47,13795902.0,0 days 00:00:00.106607,0 days 00:00:00.285016,0 days 00:00:00.002926
114,115,3,2048,512,128,0.75,5,0 days 00:00:00.025842,0 days 00:01:09.055130,89.8,89.6,68,38140734.0,0 days 00:00:00.105452,0 days 00:00:00.284789,0 days 00:00:00.007314
115,116,3,2048,512,128,0.75,7,0 days 00:00:00.025842,0 days 00:01:49.655372,95.8,96.0,80,74657982.0,0 days 00:00:00.094009,0 days 00:00:00.290201,0 days 00:00:00.014301
116,117,3,2048,512,256,0.5,2,0 days 00:00:00.017033,0 days 00:00:24.796907,79.8,79.0,40,3114718.0,0 days 00:00:00.074552,0 days 00:00:00.275688,0 days 00:00:00.000800
117,118,3,2048,512,256,0.5,3,0 days 00:00:00.017033,0 days 00:00:57.144973,88.0,87.8,79,6944078.0,0 days 00:00:00.069232,0 days 00:00:00.284571,0 days 00:00:00.001535
118,119,3,2048,512,256,0.5,5,0 days 00:00:00.017033,0 days 00:00:56.775126,91.0,91.2,73,19198030.0,0 days 00:00:00.068940,0 days 00:00:00.296032,0 days 00:00:00.003820
119,120,3,2048,512,256,0.5,7,0 days 00:00:00.017033,0 days 00:01:13.117678,91.6,92.4,74,37578958.0,0 days 00:00:00.066967,0 days 00:00:00.281615,0 days 00:00:00.007284
120,121,3,2048,512,384,0.25,2,0 days 00:00:00.014882,0 days 00:00:21.195066,77.4,75.8,36,2046022.0,0 days 00:00:00.055781,0 days 00:00:00.272768,0 days 00:00:00.000571
121,122,3,2048,512,384,0.25,3,0 days 00:00:00.014882,0 days 00:00:42.515039,87.0,88.2,53,4561222.0,0 days 00:00:00.065798,0 days 00:00:00.275677,0 days 00:00:00.000986
122,123,3,2048,512,384,0.25,5,0 days 00:00:00.014882,0 days 00:01:02.289561,94.0,94.4,76,12609862.0,0 days 00:00:00.085036,0 days 00:00:00.282741,0 days 00:00:00.002485
123,124,3,2048,512,384,0.25,7,0 days 00:00:00.014882,0 days 00:01:15.195860,93.6,94.4,79,24682822.0,0 days 00:00:00.054751,0 days 00:00:00.295866,0 days 00:00:00.004700
124,125,3,2048,512,512,0.0,2,0 days 00:00:00.012291,0 days 00:00:37.306511,84.8,84.6,61,1551302.0,0 days 00:00:00.050836,0 days 00:00:00.279272,0 days 00:00:00.000435
125,126,3,2048,512,512,0.0,3,0 days 00:00:00.012291,0 days 00:01:07.205751,92.8,93.0,78,3458182.0,0 days 00:00:00.057076,0 days 00:00:00.272607,0 days 00:00:00.000816
126,127,3,2048,512,512,0.0,5,0 days 00:00:00.012291,0 days 00:00:58.306413,92.0,92.2,78,9560198.0,0 days 00:00:00.049343,0 days 00:00:00.277797,0 days 00:00:00.002003
127,128,3,2048,512,512,0.0,7,0 days 00:00:00.012291,0 days 00:01:05.544937,94.6,94.6,79,18713222.0,0 days 00:00:00.053531,0 days 00:00:00.276938,0 days 00:00:00.003739
128,129,3,2048,1024,256,0.75,2,0 days 00:00:00.013610,0 days 00:00:19.441992,74.0,72.6,31,3114718.0,0 days 00:00:00.078085,0 days 00:00:00.281647,0 days 00:00:00.000791
129,130,3,2048,1024,256,0.75,3,0 days 00:00:00.013610,0 days 00:00:54.490154,86.4,85.6,70,6944078.0,0 days 00:00:00.072228,0 days 00:00:00.284991,0 days 00:00:00.001555
130,131,3,2048,1024,256,0.75,5,0 days 00:00:00.013610,0 days 00:01:10.279138,91.4,91.6,77,19198030.0,0 days 00:00:00.066984,0 days 00:00:00.286569,0 days 00:00:00.003852
131,132,3,2048,1024,256,0.75,7,0 days 00:00:00.013610,0 days 00:01:19.393837,91.8,91.8,80,37578958.0,0 days 00:00:00.066118,0 days 00:00:00.279439,0 days 00:00:00.007257
132,133,3,2048,1024,512,0.5,2,0 days 00:00:00.012603,0 days 00:00:18.728986,80.8,82.2,37,1551302.0,0 days 00:00:00.060698,0 days 00:00:00.270302,0 days 00:00:00.000433
133,134,3,2048,1024,512,0.5,3,0 days 00:00:00.012603,0 days 00:01:15.638865,92.4,92.6,80,3458182.0,0 days 00:00:00.058650,0 days 00:00:00.280789,0 days 00:00:00.000825
