,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan,FLOPS,AVGVimPreprocessTime,AVGVimPredictTime,AVGVimTFLitePredictTime
100,101,3,2048,256,128,0.5,2,0 days 00:00:00.033143,0 days 00:00:38.489683,56.2,66.2,42,6319902.0,0 days 00:00:00.105611,0 days 00:00:00.279509,0 days 00:00:00.001491
101,102,3,2048,256,128,0.5,3,0 days 00:00:00.033143,0 days 00:00:41.858845,30.8,60.0,39,14089742.0,0 days 00:00:00.112788,0 days 00:00:00.280622,0 days 00:00:00.002976
102,103,3,2048,256,128,0.5,5,0 days 00:00:00.033143,0 days 00:01:11.471923,67.6,72.0,49,38953230.0,0 days 00:00:00.112542,0 days 00:00:00.285747,0 days 00:00:00.007375
103,104,3,2048,256,128,0.5,7,0 days 00:00:00.033143,0 days 00:01:33.534083,60.2,70.2,44,76248462.0,0 days 00:00:00.111628,0 days 00:00:00.281068,0 days 00:00:00.014137
104,105,3,2048,256,192,0.25,2,0 days 00:00:00.029560,0 days 00:00:21.506462,49.8,61.2,25,4210414.0,0 days 00:00:00.097654,0 days 00:00:00.267911,0 days 00:00:00.001017
105,106,3,2048,256,192,0.25,3,0 days 00:00:00.029560,0 days 00:00:34.031098,53.8,63.4,39,9386814.0,0 days 00:00:00.101513,0 days 00:00:00.279170,0 days 00:00:00.002046
106,107,3,2048,256,192,0.25,5,0 days 00:00:00.029560,0 days 00:00:57.693069,45.8,66.0,50,25951294.0,0 days 00:00:00.104480,0 days 00:00:00.282467,0 days 00:00:00.005084
107,108,3,2048,256,192,0.25,7,0 days 00:00:00.029560,0 days 00:01:08.181631,72.8,72.0,45,50798014.0,0 days 00:00:00.091525,0 days 00:00:00.287217,0 days 00:00:00.009751
108,109,3,2048,256,256,0.0,2,0 days 00:00:00.025492,0 days 00:00:23.634605,52.6,62.0,33,3137094.0,0 days 00:00:00.084976,0 days 00:00:00.275907,0 days 00:00:00.000794
109,110,3,2048,256,256,0.0,3,0 days 00:00:00.025492,0 days 00:00:31.887205,44.8,64.0,36,6993734.0,0 days 00:00:00.083553,0 days 00:00:00.270107,0 days 00:00:00.001489
110,111,3,2048,256,256,0.0,5,0 days 00:00:00.025492,0 days 00:00:47.995553,70.4,73.2,46,19334982.0,0 days 00:00:00.079761,0 days 00:00:00.278563,0 days 00:00:00.003858
111,112,3,2048,256,256,0.0,7,0 days 00:00:00.025492,0 days 00:01:04.559942,76.2,73.2,50,37846854.0,0 days 00:00:00.082973,0 days 00:00:00.276579,0 days 00:00:00.007224
112,113,3,2048,512,128,0.75,2,0 days 00:00:00.037445,0 days 00:00:29.754396,51.0,60.6,29,6319902.0,0 days 00:00:00.118829,0 days 00:00:00.273667,0 days 00:00:00.001452
113,114,3,2048,512,128,0.75,3,0 days 00:00:00.037445,0 days 00:00:28.964454,43.0,60.8,25,14089742.0,0 days 00:00:00.113403,0 days 00:00:00.281031,0 days 00:00:00.002918
114,115,3,2048,512,128,0.75,5,0 days 00:00:00.037445,0 days 00:00:58.823479,35.6,61.4,38,38953230.0,0 days 00:00:00.115283,0 days 00:00:00.284435,0 days 00:00:00.007485
115,116,3,2048,512,128,0.75,7,0 days 00:00:00.037445,0 days 00:01:16.416648,66.0,70.0,35,76248462.0,0 days 00:00:00.112340,0 days 00:00:00.286694,0 days 00:00:00.014156
116,117,3,2048,512,256,0.5,2,0 days 00:00:00.022056,0 days 00:00:26.290465,42.8,61.6,35,3137094.0,0 days 00:00:00.097118,0 days 00:00:00.271630,0 days 00:00:00.000785
117,118,3,2048,512,256,0.5,3,0 days 00:00:00.022056,0 days 00:00:24.325623,54.4,63.6,30,6993734.0,0 days 00:00:00.083670,0 days 00:00:00.273601,0 days 00:00:00.001511
118,119,3,2048,512,256,0.5,5,0 days 00:00:00.022056,0 days 00:00:44.315034,68.0,71.8,40,19334982.0,0 days 00:00:00.090581,0 days 00:00:00.278325,0 days 00:00:00.003818
119,120,3,2048,512,256,0.5,7,0 days 00:00:00.022056,0 days 00:01:15.430578,74.2,72.6,57,37846854.0,0 days 00:00:00.094785,0 days 00:00:00.289252,0 days 00:00:00.007246
120,121,3,2048,512,384,0.25,2,0 days 00:00:00.017060,0 days 00:00:20.997658,36.6,58.2,30,2109534.0,0 days 00:00:00.090298,0 days 00:00:00.266614,0 days 00:00:00.000580
121,122,3,2048,512,384,0.25,3,0 days 00:00:00.017060,0 days 00:00:34.271062,43.2,63.4,47,4702734.0,0 days 00:00:00.088913,0 days 00:00:00.270110,0 days 00:00:00.001120
122,123,3,2048,512,384,0.25,5,0 days 00:00:00.017060,0 days 00:00:55.205467,63.0,71.8,69,13000974.0,0 days 00:00:00.077602,0 days 00:00:00.273338,0 days 00:00:00.002735
123,124,3,2048,512,384,0.25,7,0 days 00:00:00.017060,0 days 00:00:56.904657,72.6,73.8,53,25448334.0,0 days 00:00:00.090705,0 days 00:00:00.276326,0 days 00:00:00.005208
124,125,3,2048,512,512,0.0,2,0 days 00:00:00.017510,0 days 00:00:23.696310,37.4,61.6,37,1568838.0,0 days 00:00:00.071161,0 days 00:00:00.283290,0 days 00:00:00.000444
125,126,3,2048,512,512,0.0,3,0 days 00:00:00.017510,0 days 00:00:36.256708,47.0,64.8,51,3497158.0,0 days 00:00:00.079444,0 days 00:00:00.278511,0 days 00:00:00.000815
126,127,3,2048,512,512,0.0,5,0 days 00:00:00.017510,0 days 00:00:46.182676,50.2,67.8,64,9667782.0,0 days 00:00:00.081673,0 days 00:00:00.269886,0 days 00:00:00.001985
127,128,3,2048,512,512,0.0,7,0 days 00:00:00.017510,0 days 00:00:51.543966,69.0,73.0,56,18923718.0,0 days 00:00:00.075339,0 days 00:00:00.272037,0 days 00:00:00.003728
128,129,3,2048,1024,256,0.75,2,0 days 00:00:00.025418,0 days 00:00:19.514674,55.8,64.4,23,3137094.0,0 days 00:00:00.089804,0 days 00:00:00.270113,0 days 00:00:00.000764
129,130,3,2048,1024,256,0.75,3,0 days 00:00:00.025418,0 days 00:00:38.012046,32.2,58.6,43,6993734.0,0 days 00:00:00.102576,0 days 00:00:00.285336,0 days 00:00:00.001477
130,131,3,2048,1024,256,0.75,5,0 days 00:00:00.025418,0 days 00:00:42.338208,54.8,68.4,43,19334982.0,0 days 00:00:00.093167,0 days 00:00:00.281960,0 days 00:00:00.003806
131,132,3,2048,1024,256,0.75,7,0 days 00:00:00.025418,0 days 00:00:58.305746,74.2,75.4,42,37846854.0,0 days 00:00:00.084407,0 days 00:00:00.280886,0 days 00:00:00.007347
132,133,3,2048,1024,512,0.5,2,0 days 00:00:00.017546,0 days 00:00:19.207311,48.2,61.2,29,1568838.0,0 days 00:00:00.077636,0 days 00:00:00.264668,0 days 00:00:00.000454
133,134,3,2048,1024,512,0.5,3,0 days 00:00:00.017546,0 days 00:00:36.337725,41.2,63.2,47,3497158.0,0 days 00:00:00.076119,0 days 00:00:00.269971,0 days 00:00:00.000795
